"municipio","ibge","latitude","longitude","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2010 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2011 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2012 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2013 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2014 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2015 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2016 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2017 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2018 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2019 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2020 (-)"
"Travesseiro","4321626","-29.29769999999","-52.05319999999","104","104","140","107","111","104","143","131","141","113","82"
"Três Arroios","4321634","-27.50029999999","-52.14479999999","32","31","31","41","45","54","57","59","62","50","66"
"Três Cachoeiras","4321667","-29.44869999999","-49.92750000000","425","415","423","490","460","451","395","402","410","435","458"
"Três Coroas","4321709","-29.5137","-50.77389999999","2.293","2.313","2.219","2.061","1.918","1.752","1.679","1.542","1.457","1.354","1.084"
"Três de Maio","4321808","-27.78000000000","-54.23570000000","1.081","1.216","1.250","1.303","1.323","1.250","1.171","1.126","1.092","1.077","990"
"Três Forquilhas","4321832","-29.53839999999","-50.07079999999","31","45","52","55","59","59","47","27","16","20","23"
"Três Palmeiras","4321857","-27.61390000000","-52.84369999999","112","96","98","95","105","90","83","81","73","82","79"
"Três Passos","4321907","-27.45550000000","-53.92960000000","1.112","1.193","1.186","1.183","1.247","1.230","1.105","1.067","1.136","1.134","1.120"
"Trindade do Sul","4321956","-27.52390000000","-52.89560000000","92","107","123","122","288","339","95","283","448","532","685"
"Triunfo","4322004","-29.92909999999","-51.70750000000","1.074","1.312","1.093","1.231","1.110","1.042","1.012","1.055","1.041","988","1.017"
"Tucunduva","4322103","-27.65729999999","-54.44389999999","135","139","135","127","127","120","123","133","147","131","130"
"Tunas","4322152","-29.10389999999","-52.95380000000","34","31","43","44","41","38","25","29","33","45","30"
"Tupanci do Sul","4322186","-27.92409999999","-51.5383","18","18","22","32","20","28","14","16","20","20","15"
"Tupanciretã","4322202","-29.08579999999","-53.84449999999","558","521","512","494","529","452","454","428","426","443","419"
"Tupandi","4322251","-29.4772","-51.41740000000","688","742","763","733","859","819","738","786","712","644","758"
"Tuparendi","4322301","-27.75979999999","-54.48140000000","215","245","249","266","249","226","214","198","191","189","144"
"Turuçu","4322327","-31.41730000000","-52.1706","38","64","53","55","41","43","41","46","45","39","40"
"Ubiretama","4322343","-28.04040000000","-54.68589999999","15","19","24","23","20","22","13","20","22","19","14"
"União da Serra","4322350","-28.78330000000","-52.02380000000","34","37","35","34","40","40","32","37","27","27","20"
"Unistalda","4322376","-29.03999999999","-55.15169999999","18","25","19","22","25","28","26","25","24","25","17"
"Uruguaiana","4322400","-29.76139999999","-57.08529999999","3.167","3.065","3.155","3.186","3.043","3.017","2.870","3.097","2.763","2.554","2.356"
"Vacaria","4322509","-28.50789999999","-50.94180000000","3.265","3.405","3.364","3.446","3.546","3.184","2.982","2.980","3.084","3.036","3.324"
"Vale do Sol","4322533","-29.59669999999","-52.68390000000","126","108","103","141","130","113","104","82","87","85","68"
"Vale Real","4322541","-29.3919","-51.25589999999","201","207","230","234","278","259","308","276","295","297","292"
"Vale Verde","4322525","-29.7864","-52.18569999999","44","38","43","35","45","43","34","43","42","44","51"
"Vanini","4322558","-28.4758","-51.84470000000","61","62","62","60","72","71","52","55","45","41","30"
"Venâncio Aires","4322608","-29.6143","-52.19319999999","2.725","2.926","2.962","3.086","2.981","2.794","2.677","2.696","2.656","2.569","2.598"
"Vera Cruz","4322707","-29.71839999999","-52.5152","843","826","860","877","908","737","652","683","661","653","640"
"Veranópolis","4322806","-28.9312","-51.55160000000","1.383","1.427","1.482","1.463","1.375","1.254","1.180","1.139","1.204","1.076","1.052"
"Vespasiano Correa","4322855","-29.0655","-51.86250000000","31","56","69","64","53","45","47","39","48","51","48"
"Viadutos","4322905","-27.5716","-52.02109999999","54","54","57","64","68","74","73","71","52","56","55"
"Viamão","4323002","-30.08190000000","-51.01939999999","3.313","3.471","3.656","3.753","3.766","3.480","3.139","3.084","3.049","3.184","2.977"
"Vicente Dutra","4323101","-27.16079999999","-53.40220000000","57","43","51","41","42","41","36","38","24","27","26"
"Victor Graeff","4323200","-28.56319999999","-52.74949999999","51","46","68","83","79","75","59","63","64","66","80"
"Vila Flores","4323309","-28.8598","-51.55040000000","228","221","224","235","240","198","169","139","157","169","170"
"Vila Lângaro","4323358","-28.10620000000","-52.14379999999","42","71","62","77","83","89","65","78","90","95","100"
"Vila Maria","4323408","-28.53590000000","-52.14869999999","282","279","275","272","254","251","232","267","271","259","306"
"Vila Nova do Sul","4323457","-30.3461","-53.87599999999","69","70","68","69","77","79","67","64","55","63","60"
"Vista Alegre","4323507","-27.36860000000","-53.49190000000","45","58","58","59","57","50","47","59","60","69","71"
"Vista Alegre do Prata","4323606","-28.80519999999","-51.79460000000","32","28","19","19","24","20","27","30","18","29","23"
"Vista Gaúcha","4323705","-27.29019999999","-53.69740000000","85","82","73","89","91","89","75","70","70","67","55"
"Vitória das Missões","4323754","-28.35160000000","-54.50399999999","26","26","26","26","35","32","36","45","38","13","16"
"Westfalia","4323770","-29.37440000000","-51.74629999999","235","249","259","253","314","315","290","278","264","286","336"
"Xangri-lá","4323804","-29.8065","-50.05190000000","628","672","677","655","790","854","885","798","823","867","867"
